gs_name,gene_symbol
Cajal-Retzius cells.Brain,ABCC5
Cajal-Retzius cells.Brain,CNRIP1
Cajal-Retzius cells.Brain,EBF3
Cajal-Retzius cells.Brain,FUT9
Cajal-Retzius cells.Brain,PABPN1
Cajal-Retzius cells.Brain,GNL3L
Cajal-Retzius cells.Brain,NUDT2
Cajal-Retzius cells.Brain,SLC25A46
Cajal-Retzius cells.Brain,NSMCE3
Cajal-Retzius cells.Brain,DACH1
Cajal-Retzius cells.Brain,FAM69B
Cajal-Retzius cells.Brain,HOMER2
Cajal-Retzius cells.Brain,MAP9
Cajal-Retzius cells.Brain,DNM3
Cajal-Retzius cells.Brain,LZTFL1
Cajal-Retzius cells.Brain,FSD1
Cajal-Retzius cells.Brain,TCEAL1
Cajal-Retzius cells.Brain,RAB11FIP2
Cajal-Retzius cells.Brain,BARHL2
Cajal-Retzius cells.Brain,TRIM44
Cajal-Retzius cells.Brain,SLC17A6
Cajal-Retzius cells.Brain,B3GALT1
Cajal-Retzius cells.Brain,SLITRK5
Cajal-Retzius cells.Brain,ERC2
Cajal-Retzius cells.Brain,NBEA
Cajal-Retzius cells.Brain,SLC25A36
Cajal-Retzius cells.Brain,ZDBF2
Cajal-Retzius cells.Brain,MAPK8
Cajal-Retzius cells.Brain,GDF5
Cajal-Retzius cells.Brain,ACHE
Cajal-Retzius cells.Brain,CCM2
Cajal-Retzius cells.Brain,WRAP73
Cajal-Retzius cells.Brain,NRG1
Cajal-Retzius cells.Brain,ATP13A2
Cajal-Retzius cells.Brain,CNTNAP2
Cajal-Retzius cells.Brain,PNOC
Cajal-Retzius cells.Brain,LHX1
Cajal-Retzius cells.Brain,LINGO2
Cajal-Retzius cells.Brain,FAT3
Cajal-Retzius cells.Brain,SRGAP3
Cajal-Retzius cells.Brain,CDH4
Cajal-Retzius cells.Brain,FLRT3
Cajal-Retzius cells.Brain,EDIL3
Cajal-Retzius cells.Brain,ZCCHC12
Cajal-Retzius cells.Brain,RALGPS2
Cajal-Retzius cells.Brain,FAM196A
Cajal-Retzius cells.Brain,SMAD1
Cajal-Retzius cells.Brain,TBR1
Cajal-Retzius cells.Brain,KCNH7
Cajal-Retzius cells.Brain,LHX5
Cajal-Retzius cells.Brain,CALB2
Cajal-Retzius cells.Brain,EMX2
Cajal-Retzius cells.Brain,ZIC2
Cajal-Retzius cells.Brain,WNT7B
Cajal-Retzius cells.Brain,AATF
Cajal-Retzius cells.Brain,NANOS1
Cajal-Retzius cells.Brain,TBCK
Cajal-Retzius cells.Brain,RGMB
Cajal-Retzius cells.Brain,DACT1
Cajal-Retzius cells.Brain,EOMES
Cajal-Retzius cells.Brain,CNR1
Cajal-Retzius cells.Brain,HAR1A
Cardiac stem and precursor cells.Heart,MYH6
Cardiac stem and precursor cells.Heart,WT1
Cardiac stem and precursor cells.Heart,TBX18
Cardiac stem and precursor cells.Heart,FUT4
Cardiac stem and precursor cells.Heart,KITLG
Cardiac stem and precursor cells.Heart,NKX2-5
Cardiac stem and precursor cells.Heart,ISL1
