IC	Gene	n_genes	phenotype
IC2	HAUS6	291	G1S
IC2	DCLRE1B	291	G1S
IC2	EME1	291	G1S
IC2	PRPS2	291	G1S
IC2	POLR3K	291	G1S
IC2	MCMBP	291	G1S
IC2	RAD1	291	G1S
IC2	DNAJC9	291	G1S
IC2	MTBP	291	G1S
IC2	TOP2A	291	G1S
IC2	CASP2	291	G1S
IC2	TUBG1	291	G1S
IC2	PARP2	291	G1S
IC2	PDLIM3	291	G1S
IC2	HADH	291	G1S
IC2	LIN9	291	G1S
IC2	ITGB3BP	291	G1S
IC2	APEX2	291	G1S
IC2	C1orf112	291	G1S
IC2	INSR	291	G1S
IC2	HIST1H1B	291	G1S
IC2	PSIP1	291	G1S
IC2	SYNE2	291	G1S
IC2	NETO2	291	G1S
IC2	HMGXB4	291	G1S
IC2	C18orf54	291	G1S
IC2	CSE1L	291	G1S
IC2	CDCA4	291	G1S
IC2	TREX1	291	G1S
IC2	TFDP1	291	G1S
IC2	GGH	291	G1S
IC2	MBOAT1	291	G1S
IC2	NEDD1	291	G1S
IC2	SRSF2	291	G1S
IC2	NUDT1	291	G1S
IC2	ACYP1	291	G1S
IC2	TCF19	291	G1S
IC2	OGN	291	G1S
IC2	PRPF4	291	G1S
IC2	GINS4	291	G1S
IC2	RAD51C	291	G1S
IC2	C3orf14	291	G1S
IC2	DAXX	291	G1S
IC2	TTF2	291	G1S
IC2	H2AFZ	291	G1S
IC2	SFI1	291	G1S
IC2	ENOSF1	291	G1S
IC2	ERLIN1	291	G1S
IC2	MIS18A	291	G1S
IC2	EXOSC8	291	G1S
IC2	DDX12P	291	G1S
IC2	HJURP	291	G1S
IC2	RMI2	291	G1S
IC2	KIAA1524	291	G1S
IC2	SLC29A1	291	G1S
IC2	ALG6	291	G1S
IC2	PHTF2	291	G1S
IC2	ANLN	291	G1S
IC2	ZNF107	291	G1S
IC2	GJC1	291	G1S
IC2	TMPO	291	G1S
IC2	FOXRED2	291	G1S
IC2	SHCBP1	291	G1S
IC2	CSRP2	291	G1S
IC2	POLE	291	G1S
IC2	PARP1	291	G1S
IC2	CHAC2	291	G1S
IC2	FAM161A	291	G1S
IC2	VSIG10	291	G1S
IC2	TMEM38B	291	G1S
IC2	STRA13	291	G1S
IC2	DBF4	291	G1S
IC2	NPAT	291	G1S
IC2	CEP78	291	G1S
IC2	PKNOX1	291	G1S
IC2	PHIP	291	G1S
IC2	PBK	291	G1S
IC2	DHCR24	291	G1S
IC2	TRIM45	291	G1S
IC2	FBXO4	291	G1S
IC2	TIMM21	291	G1S
IC2	FAM54A	291	G1S
IC2	MDM1	291	G1S
IC2	ZNF519	291	G1S
IC2	CENPI	291	G1S
IC2	SNHG1	291	G1S
IC2	ZNF93	291	G1S
IC2	DERA	291	G1S
IC2	KIF20B	291	G1S
IC2	CENPN	291	G1S
IC2	HPRT1	291	G1S
IC2	NUP155	291	G1S
IC2	IVNS1ABP	291	G1S
IC2	KIAA1731	291	G1S
IC2	FKBP5	291	G1S
IC2	NUP205	291	G1S
IC2	FAM178A	291	G1S
IC2	KDELC2	291	G1S
IC2	WDYHV1	291	G1S
IC2	CTDSPL2	291	G1S
IC3	CTSC	131	
IC3	RP5-1070A16.1	131	
IC3	LINC00670	131	
IC3	RP11-21F16.1	131	
IC3	FAM227A	131	
IC3	CPM	131	
IC3	RNF125	131	
IC3	RP4-617C6.1	131	
IC3	TIGD1	131	
IC3	MTRNR2L3	131	
IC3	OPA3	131	
IC3	NOS1	131	
IC3	SPN	131	
IC3	RP11-421L10.1	131	
IC3	XRCC2	131	
IC3	OR7D2	131	
IC3	MTRNR2L10	131	
IC3	NUGGC	131	
IC3	EPPIN	131	
IC3	ZNF850	131	
IC3	HPSE	131	
IC3	ZNF480	131	
IC3	CTD-3014M21.4	131	
IC3	GBP4	131	
IC3	KLHL7-AS1	131	
IC3	RP11-429J17.6	131	
IC3	SLFN13	131	
IC3	PDE4C	131	
IC3	XAF1	131	
IC3	RFPL1-AS1	131	
IC3	ALPK1	131	
IC3	AC002472.13	131	
IC3	RAD21-AS1	131	
IC3	FBXL19-AS1	131	
IC3	CTCFL	131	
IC3	NLRP12	131	
IC3	PLCXD1	131	
IC3	ZNF716	131	
IC3	PCED1B-AS1	131	
IC3	CYP1A2	131	
IC3	FAM111B	131	
IC3	NCMAP	131	
IC3	RP11-48B14.2	131	
IC3	AC002511.1	131	
IC3	LINC00410	131	
IC3	RP5-857K21.11	131	
IC3	C2orf91	131	
IC3	TRIM4	131	
IC3	RP11-94L15.2	131	
IC3	F2RL3	131	
IC3	ZNF557	131	
IC3	C17orf77	131	
IC3	PLEKHA5	131	
IC3	SPIB	131	
IC3	ENTPD1	131	
IC3	NXNL2	131	
IC3	RP11-510H23.1	131	
IC3	PRKY	131	
IC3	RP11-294O2.2	131	
IC3	IYD	131	
IC3	CACNG8	131	
IC3	C3orf72	131	
IC3	KSR2	131	
IC3	SIGLEC10	131	
IC3	SHE	131	
IC3	ZNF829	131	
IC3	GALNT6	131	
IC3	RP11-439L8.4	131	
IC3	ANKLE1	131	
IC3	SBF2-AS1	131	
IC3	SH3BP2	131	
IC3	HTRA4	131	
IC3	PRRG4	131	
IC3	CASP10	131	
IC3	DUSP19	131	
IC3	RASSF8	131	
IC3	ZNF445	131	
IC3	AC091878.1	131	
IC3	TECRL	131	
IC3	RP11-399D6.2	131	
IC3	DNAJC27-AS1	131	
IC3	PLXDC1	131	
IC3	SLC25A53	131	
IC3	NUDT16P	131	
IC3	ADIPOQ	131	
IC3	ATAD3C	131	
IC3	NPAP1	131	
IC3	CXorf36	131	
IC3	MAGEA10	131	
IC3	BCDIN3D-AS1	131	
IC3	CCBP2	131	
IC3	RNA45S5	131	
IC3	RPLP0P2	131	
IC3	AC003003.5	131	
IC3	CEACAM22P	131	
IC3	FBXO27	131	
IC3	RPL36A	131	
IC3	ABCA9	131	
IC3	RP11-115J16.1	131	
IC3	WDR17	131	
IC3	KLRD1	131	
IC3	SLC14A2	131	
IC3	HRH4	131	
IC3	IL12RB1	131	
IC3	IL17RA	131	
IC3	ITIH5	131	
IC3	SLC30A4	131	
IC3	PRELP	131	
IC3	GBP6	131	
IC3	RP11-394B2.4	131	
IC3	LRRC2	131	
IC3	PDE6A	131	
IC3	USP49	131	
IC3	TMEM236	131	
IC3	RAMP2-AS1	131	
IC3	LINC00514	131	
IC3	MTND6P4	131	
IC3	POM121L10P	131	
IC3	AC009227.2	131	
IC3	CYP2B7P1	131	
IC3	MARVELD3	131	
IC3	SGK3	131	
IC3	PTAFR	131	
IC3	SRD5A3	131	
IC3	TESPA1	131	
IC3	NPSR1-AS1	131	
IC3	CD84	131	
IC3	OTX2-AS1	131	
IC3	LIN28A	131	
IC3	GJC1	131	
IC3	ENTPD3-AS1	131	
IC4	CD320	372	OxPhos
IC4	TBCB	372	OxPhos
IC4	ATP6V0E2	372	OxPhos
IC4	RNH1	372	OxPhos
IC4	LSM4	372	OxPhos
IC4	TSPO	372	OxPhos
IC4	EIF4EBP1	372	OxPhos
IC4	POLR2E	372	OxPhos
IC4	TUBB2A	372	OxPhos
IC4	LGALS3BP	372	OxPhos
IC4	PLD3	372	OxPhos
IC4	PEPD	372	OxPhos
IC4	GPS1	372	OxPhos
IC4	CBR1	372	OxPhos
IC4	SGTA	372	OxPhos
IC4	PIN1	372	OxPhos
IC4	CDC37	372	OxPhos
IC4	COPE	372	OxPhos
IC4	YIF1A	372	OxPhos
IC4	CRIP2	372	OxPhos
IC4	RAMP1	372	OxPhos
IC4	GOT2	372	OxPhos
IC4	CLPP	372	OxPhos
IC4	GRN	372	OxPhos
IC4	DGCR6L	372	OxPhos
IC4	PLIN3	372	OxPhos
IC4	RER1	372	OxPhos
IC4	CCDC124	372	OxPhos
IC4	MRPL28	372	OxPhos
IC4	P4HB	372	OxPhos
IC4	AP1M1	372	OxPhos
IC4	AURKAIP1	372	OxPhos
IC4	PUF60	372	OxPhos
IC4	MLF2	372	OxPhos
IC4	NDUFV1	372	OxPhos
IC4	RHBDD2	372	OxPhos
IC4	PDCD6	372	OxPhos
IC4	ADRM1	372	OxPhos
IC4	GPAA1	372	OxPhos
IC4	YIF1B	372	OxPhos
IC4	NOC2L	372	OxPhos
IC4	DCXR	372	OxPhos
IC4	PYCR1	372	OxPhos
