IC	Gene	n_genes	phenotype
IC10	HOXD13	220	EwS
IC10	AC022311.1	220	EwS
IC10	SH3PXD2A	220	EwS
IC10	WWOX	220	EwS
IC10	CREM	220	EwS
IC10	SH2B3	220	EwS
IC10	DCLRE1A	220	EwS
IC10	CDC37L1	220	EwS
IC10	SYT6	220	EwS
IC10	NPY	220	EwS
IC10	PADI2	220	EwS
IC10	ADRA1D	220	EwS
IC10	DCDC2	220	EwS
IC10	FN1	220	EwS
IC10	CHD3	220	EwS
IC10	GLRX	220	EwS
IC10	ROBO2	220	EwS
IC10	FAM111A	220	EwS
IC10	EGR2	220	EwS
IC10	NLGN4X	220	EwS
IC10	SCN1A	220	EwS
IC10	NET1	220	EwS
IC10	N4BP2	220	EwS
IC10	CER1	220	EwS
IC10	NPY5R	220	EwS
IC10	OTUD1	220	EwS
IC10	GFRA2	220	EwS
IC10	SPATA6L	220	EwS
IC10	OLFM1	220	EwS
IC10	TMEM47	220	EwS
IC10	FAM123A	220	EwS
IC10	RAVER2	220	EwS
IC10	RHOH	220	EwS
IC10	SIRPA	220	EwS
IC10	CTTNBP2	220	EwS
IC10	DNAL4	220	EwS
IC10	MLLT3	220	EwS
IC10	CPVL	220	EwS
IC10	PAPPA	220	EwS
IC10	FAM117B	220	EwS
IC10	RGL1	220	EwS
IC10	RP11-521M14.1	220	EwS
IC10	ZNF704	220	EwS
IC10	LHFP	220	EwS
IC10	TXNIP	220	EwS
IC10	SYT4	220	EwS
IC10	RP11-18I14.10	220	EwS
IC10	DAPK2	220	EwS
IC10	JARID2	220	EwS
IC10	TMEM98	220	EwS
IC10	ATP11C	220	EwS
IC10	SMARCC1	220	EwS
IC10	mars-01	220	EwS
IC10	HOXD8	220	EwS
IC10	MAN2A1	220	EwS
IC10	AK3	220	EwS
IC10	ALX1	220	EwS
IC10	NPTXR	220	EwS
IC10	FZD4	220	EwS
IC10	SLC17A8	220	EwS
IC10	AASS	220	EwS
IC10	GSTA4	220	EwS
IC10	RERE	220	EwS
IC10	FOS	220	EwS
IC10	CEACAM6	220	EwS
IC10	PAX9	220	EwS
IC10	CACHD1	220	EwS
IC10	WDFY2	220	EwS
IC10	ALX4	220	EwS
IC10	TGS1	220	EwS
IC10	TSPAN8	220	EwS
IC10	PBX1	220	EwS
IC10	ID4	220	EwS
IC10	GDF6	220	EwS
IC10	TSPYL5	220	EwS
IC11	TNFAIP1	50	
IC11	USH2A	50	
IC11	DNAH8	50	
IC11	DNAH5	50	
IC11	MUC16	50	
IC11	RELN	50	
IC11	RP11-339F13.2	50	
IC11	HYDIN	50	
IC11	PDZD2	50	
IC11	SLC30A9	50	
IC11	GPR98	50	
IC11	DNAH10	50	
IC11	PKD1L1	50	
IC11	HSPA13	50	
IC11	GPD2	50	
IC11	DNAH3	50	
IC11	ANXA6	50	
IC11	CP	50	
IC11	DNAH11	50	
IC11	HMCN1	50	
IC11	AMPH	50	
IC11	ACTL6A	50	
IC11	TMEM9	50	
IC11	TMEM232	50	
IC11	PTPRT	50	
IC11	DNAH9	50	
IC11	SVEP1	50	
IC11	VIT	50	
IC11	NEB	50	
IC11	EGFR-AS1	50	
IC11	CNTN1	50	
IC11	FOXP2	50	
IC11	TRAPPC9	50	
IC11	VWA3B	50	
IC11	HECW1	50	
IC11	PRUNE	50	
IC11	DLGAP1	50	
IC11	SPEF2	50	
IC11	MUC19	50	
IC11	FBN2	50	
IC11	CSGALNACT1	50	
IC11	GRIA1	50	
IC11	THADA	50	
IC11	RP11-1220K2.2	50	
IC11	ALDH9A1	50	
IC11	DFNA5	50	
IC11	UTRN	50	
IC11	DNAH2	50	
IC11	NRXN1	50	
IC11	PREX2	50	
IC12	CD69	266	
IC12	SOCS2	266	
IC12	PTPN13	266	
IC12	SYNPR	266	
IC12	JPH1	266	
IC12	ENPP1	266	
IC12	SYCP1	266	
IC12	HCAR2	266	
IC12	BST2	266	
IC12	KRT40	266	
IC12	KIF21A	266	
IC12	G0S2	266	
IC12	SHISA2	266	
IC12	TSPAN8	266	
IC12	LECT1	266	
IC12	FBXO32	266	
IC12	IQCG	266	
IC12	HLA-B	266	
IC12	CPNE8	266	
IC12	XAF1	266	
IC12	ENPP3	266	
IC12	GBP1	266	
IC12	FRZB	266	
IC12	OAS1	266	
IC12	TMEM47	266	
IC12	RP1-177G6.2	266	
IC12	PAX7	266	
IC12	ZDHHC21	266	
IC12	TMEM229A	266	
IC12	GABRR1	266	
IC12	CCND2	266	
IC12	LRRC16A	266	
IC12	ARHGEF6	266	
IC12	IL2RG	266	
IC12	RUNX3	266	
IC12	PARP9	266	
IC12	SATB1	266	
IC12	MX1	266	
IC12	AC023481.1	266	
IC12	SPRY2	266	
IC12	LITAF	266	
IC12	CTD-2314B22.3	266	
IC12	XG	266	
IC12	TMEM176B	266	
IC12	TIMP3	266	
IC12	AL589743.1	266	
IC12	AP000525.8	266	
IC12	MYPN	266	
IC12	HCAR3	266	
IC12	PAX9	266	
IC12	ABCA5	266	
IC12	SIM2	266	
IC12	CLEC2B	266	
IC12	PCSK1	266	
IC12	SAMD9L	266	
IC12	OAS2	266	
IC12	CCDC71L	266	
IC12	SESN3	266	
IC12	LINC00659	266	
IC12	TRIM59	266	
IC12	AXL	266	
IC12	SPRY4	266	
IC12	IFIT3	266	
IC12	TRIM22	266	
IC12	TRIB1	266	
IC12	NR4A3	266	
IC12	HRSP12	266	
IC12	PCDH8	266	
IC12	STAT1	266	
IC12	GABRA5	266	
IC12	HLA-E	266	
IC12	STARD13	266	
IC12	ENPEP	266	
IC12	ABAT	266	
IC12	DCDC2	266	
IC12	CH25H	266	
IC12	PLSCR1	266	
IC12	GYG2	266	
IC12	HOXD13	266	
IC12	NAMPT	266	
IC12	DMXL2	266	
IC12	PAX6	266	
IC12	NR4A1	266	
IC12	SP100	266	
IC12	FZD4	266	
IC12	IFI6	266	
IC12	FHL2	266	
IC12	MBNL2	266	
IC12	TAGAP	266	
IC12	UBE2L6	266	
IC12	PSMB9	266	
IC12	PARP14	266	
IC12	PCDH11X	266	
IC12	GDF10	266	
IC12	RPSAP52	266	
IC12	EGR3	266	
IC12	ZBTB10	266	
IC12	C1orf61	266	
IC12	OAS3	266	
IC12	PDE4D	266	
IC12	PPP1R3B	266	
IC12	HOMER1	266	
IC12	PARP11	266	
IC12	DTX3L	266	
IC12	MFAP3	266	
IC12	ARID5B	266	
IC12	UBR1	266	
IC12	POU4F2	266	
IC12	NPY5R	266	
IC12	TEX15	266	
IC12	SIK1	266	
IC12	HERC4	266	
IC12	PRND	266	
IC12	JAK3	266	
IC12	GSTM5	266	
IC12	DNAJC27	266	
IC12	CDR1	266	
IC12	ARC	266	
IC12	ITGB2	266	
IC12	SCNN1G	266	
IC12	SEL1L3	266	
IC12	ZNF331	266	
IC12	S100A6	266	
IC12	GEM	266	
IC12	USP31	266	
IC12	IFITM1	266	
IC12	CDH8	266	
IC12	BTG2	266	
IC12	CSRNP1	266	
IC12	PNMA2	266	
IC12	DDX58	266	
IC12	DNAJB9	266	
IC12	CYP24A1	266	
IC12	KL	266	
IC12	NFKBIZ	266	
IC12	POU3F1	266	
IC12	ZNF704	266	
IC12	MAPK10	266	
IC12	ZMAT1	266	
IC12	IFIT1	266	
IC12	SIKE1	266	
IC12	CD248	266	
IC12	RND3	266	
IC12	MTMR6	266	
IC12	BIRC3	266	
IC12	LXN	266	
IC12	DCBLD2	266	
IC12	LAPTM4B	266	
IC12	TSC22D1	266	
IC12	VSIG10	266	
IC12	PSMB8	266	
IC12	TRIM5	266	
IC12	WASF3	266	
IC12	CDK13	266	
IC12	PRDM1	266	
IC12	HIST2H2BE	266	
IC12	RNF139	266	
IC12	LIMCH1	266	
IC12	PNPLA8	266	
IC12	COL19A1	266	
IC12	CRISPLD2	266	
IC12	PDE4B	266	
IC12	SLC25A32	266	
IC12	DDIT4	266	
IC12	NUP98	266	
IC12	ATP8B1	266	
IC12	SNHG14	266	
IC12	IFI27	266	
IC12	CCDC144B	266	
IC12	AHR	266	
IC12	MAPT	266	
IC12	EPHA5	266	
IC12	BID	266	
IC12	GAS1	266	
IC12	MSRA	266	
IC12	DCN	266	
IC12	PDCD1	266	
IC12	GRM2	266	
IC12	TDRD3	266	
IC12	RNF19A	266	
IC12	PHF20L1	266	
IC12	ISG15	266	
IC12	ITPRIP	266	
IC12	MX2	266	
IC12	FAM123A	266	
IC12	CEBPD	266	
IC12	CAV2	266	
IC12	TNFAIP6	266	
IC12	LIMA1	266	
IC12	IFITM2	266	
IC12	SH3BGRL	266	
IC12	CHRDL1	266	
IC12	RP11-165I9.4	266	
IC12	PDE4DIP	266	
IC12	ZNF140	266	
IC12	SLC2A3	266	
IC12	SSH1	266	
IC12	HECTD4	266	
IC12	PRKCB	266	
IC12	STEAP3	266	
IC12	UBE2J1	266	
IC12	GATA2	266	
IC12	RHBDD2	266	
IC12	SGK1	266	
IC12	IRF2	266	
IC12	CTR9	266	
IC12	NXT2	266	
IC12	TMEM161B-AS1	266	
IC12	SLC35G2	266	
IC12	NLGN4X	266	
IC12	CREM	266	
IC12	RNF213	266	
IC12	GPCPD1	266	
IC12	ARHGAP15	266	
IC12	ACACB	266	
IC12	RP11-1258F18.1	266	
IC12	PM20D2	266	
IC12	PDXK	266	
IC12	AC008040.1	266	
IC12	ADRB3	266	
IC12	FREM1	266	
IC12	LOXHD1	266	
IC12	DDX60	266	
IC12	STRBP	266	
IC12	FGL2	266	
IC12	FAM134B	266	
IC12	LDB2	266	
IC12	C7orf73	266	
IC12	ARPC5	266	
IC12	TRAC	266	
IC12	KIAA1467	266	
IC12	CCL2	266	
IC12	PPP2R2A	266	
IC12	PRKAR2B	266	
IC12	@	266	
IC12	GPR174	266	
IC12	CDKN1A	266	
IC12	FAM208A	266	
IC12	SYNE1	266	
IC12	SACM1L	266	
IC12	NEUROD6	266	
IC12	ZHX1	266	
IC12	NECAB1	266	
IC12	EPHA4	266	
IC12	ARID5A	266	
IC12	PRSS35	266	
IC12	SCML1	266	
IC12	DLX4	266	
IC12	SLC25A37	266	
IC12	SRGN	266	
IC12	DDX26B	266	
IC12	AGPAT3	266	
IC12	ANKRD18DP	266	
IC12	EPDR1	266	
IC12	DCUN1D4	266	
IC12	PLSCR4	266	
IC12	DKK2	266	
IC12	CD47	266	
IC12	SMARCA2	266	
IC12	TMEM87B	266	
IC12	NMI	266	
IC12	TCEA3	266	
IC12	DCP1A	266	
IC12	NDFIP2	266	
IC12	LGALS3BP	266	
IC12	CERS5	266	
IC13	EGR1	168	
IC13	DUSP1	168	
IC13	FOS	168	
IC13	FOSB	168	
IC13	EGR2	168	
IC13	ATF3	168	
IC13	ZFP36	168	
IC13	RGS2	168	
IC13	KLF10	168	
IC13	RHOB	168	
IC13	CTD-3252C9.4	168	
IC13	SAT1	168	
IC13	SLC2A3	168	
IC13	KLF6	168	
IC13	BTG2	168	
IC13	JUN	168	
IC13	GADD45B	168	
IC13	CCNL1	168	
IC13	NR4A3	168	
IC13	SERPINE1	168	
IC13	NR4A1	168	
IC13	EGR3	168	
IC13	JUNB	168	
IC13	PPP1R15A	168	
IC13	HES1	168	
IC13	ERRFI1	168	
IC13	TIPARP	168	
IC13	GEM	168	
IC13	TRIB1	168	
IC13	VMP1	168	
IC13	CDKN1A	168	
IC13	DNAJB1	168	
IC13	CYR61	168	
IC13	SIK1	168	
IC13	MCL1	168	
IC13	NFKBIA	168	
IC13	ID1	168	
IC13	NFKBIZ	168	
IC13	SGK1	168	
IC13	DNAJB4	168	
IC13	NR4A2	168	
IC13	CSRNP1	168	
IC13	CLK1	168	
IC13	SERTAD1	168	
IC13	ZFP36L1	168	
IC13	F3	168	
IC13	IER2	168	
IC13	IGFBP5	168	
IC13	PNRC1	168	
IC13	TSC22D2	168	
IC13	MGP	168	
IC13	DUSP6	168	
IC13	PPP1R15B	168	
IC13	ZFAND5	168	
IC13	BHLHE40	168	
IC13	C1orf63	168	
IC13	UAP1	168	
IC13	MYADM	168	
IC13	DCN	168	
IC13	JUND	168	
IC13	CREM	168	
IC13	IFRD1	168	
IC13	TOB1	168	
IC13	SCN9A	168	
IC13	C8orf4	168	
IC13	PLEKHA5	168	
IC13	PLK2	168	
IC13	SRSF7	168	
IC13	WSB1	168	
IC13	EZR	168	
IC13	TNFAIP6	168	
IC13	ADAMTS4	168	
IC13	SRSF2	168	
IC13	HSPA1A	168	
IC13	RND3	168	
IC13	MYC	168	
IC13	TIMP3	168	
IC13	SOCS3	168	
IC13	PLCB4	168	
IC13	GADD45A	168	
IC13	FAM110B	168	
IC13	ITM2A	168	
IC13	KLF4	168	
IC13	FAM46A	168	
IC13	HSPA5	168	
IC13	RGS16	168	
IC13	CAMK2N1	168	
IC13	ID2	168	
IC13	NAMPT	168	
IC13	BAMBI	168	
IC13	LMO4	168	
IC13	ARRDC3	168	
IC13	ID3	168	
IC13	C3orf58	168	
IC13	DDIT3	168	
IC13	MIR22HG	168	
IC13	RAMP1	168	
IC13	EMP1	168	
IC13	VCAN	168	
IC13	CCNT1	168	
IC13	SLC38A2	168	
IC13	WTAP	168	
IC13	CKS2	168	
IC13	DNAJA1	168	
IC13	CBFB	168	
IC13	EZH2	168	
IC13	IGDCC4	168	
IC13	BIRC2	168	
IC13	STC1	168	
IC13	GOLGA8A	168	
IC13	KBTBD2	168	
IC13	FCGRT	168	
IC13	CALCRL	168	
IC13	TUBB4B	168	
IC13	TWIST1	168	
IC13	PER2	168	
IC13	PCF11	168	
IC13	DAAM1	168	
IC13	TSPAN8	168	
IC13	PNRC2	168	
IC13	PRDM2	168	
IC13	SRSF3	168	
IC13	PHLDA1	168	
IC13	NFIL3	168	
IC13	ARID2	168	
IC13	HSPA1B	168	
IC13	NID1	168	
IC13	ATP2B4	168	
IC13	NLRP1	168	
IC13	ANXA1	168	
IC13	IRS2	168	
IC13	TRA2A	168	
IC13	TSC22D1	168	
IC13	KLF2	168	
IC13	ARID5B	168	
IC13	PCMTD2	168	
IC13	ARC	168	
IC13	ZNF711	168	
IC13	EIF4A3	168	
IC13	BRD2	168	
IC13	MLF1	168	
IC13	GLIPR1	168	
IC13	ANGPTL4	168	
IC13	MGST1	168	
IC13	MAP3K1	168	
IC13	OSGIN2	168	
IC13	RDH10	168	
IC13	DKK2	168	
IC13	EMP3	168	
IC13	PTBP2	168	
IC13	IDI1	168	
IC13	BCL10	168	
IC13	FAM133B	168	
IC13	ACADVL	168	
IC13	OGT	168	
IC13	CHD1	168	
IC13	SPRY2	168	
IC13	MEG3	168	
IC13	STOM	168	
IC13	BTG1	168	
IC13	IL1RAP	168	
IC13	MSX1	168	
IC13	TOPORS	168	
IC13	JAK1	168	
IC13	APOE	168	
IC13	MAP1LC3B	168	
IC13	CCDC14	168	
IC13	PRICKLE2	168	
IC14	ENO2	158	Glycolysis_hypoxia
IC14	VEGFA	158	Glycolysis_hypoxia
IC14	HILPDA	158	Glycolysis_hypoxia
IC14	ADM	158	Glycolysis_hypoxia
IC14	BNIP3L	158	Glycolysis_hypoxia
IC14	BNIP3	158	Glycolysis_hypoxia
IC14	SLC2A1	158	Glycolysis_hypoxia
IC14	ZNF395	158	Glycolysis_hypoxia
IC14	PGK1	158	Glycolysis_hypoxia
IC14	INSIG2	158	Glycolysis_hypoxia
IC14	BHLHE40	158	Glycolysis_hypoxia
IC14	PDK1	158	Glycolysis_hypoxia
IC14	AKAP12	158	Glycolysis_hypoxia
IC14	IGFBP5	158	Glycolysis_hypoxia
IC14	AK4	158	Glycolysis_hypoxia
IC14	SLC2A3	158	Glycolysis_hypoxia
IC14	NDRG1	158	Glycolysis_hypoxia
IC14	HSPA1B	158	Glycolysis_hypoxia
IC14	DNAJB9	158	Glycolysis_hypoxia
IC14	SLC39A14	158	Glycolysis_hypoxia
IC14	ARRDC3	158	Glycolysis_hypoxia
IC14	P4HA1	158	Glycolysis_hypoxia
IC14	NRN1	158	Glycolysis_hypoxia
IC14	HK2	158	Glycolysis_hypoxia
IC14	EPAS1	158	Glycolysis_hypoxia
IC14	ERO1L	158	Glycolysis_hypoxia
IC14	RLF	158	Glycolysis_hypoxia
IC14	TMEM45A	158	Glycolysis_hypoxia
IC14	PFKP	158	Glycolysis_hypoxia
IC14	FAM162A	158	Glycolysis_hypoxia
IC14	LGALS3	158	Glycolysis_hypoxia
IC14	EGFR	158	Glycolysis_hypoxia
IC14	GBE1	158	Glycolysis_hypoxia
IC14	PFKFB4	158	Glycolysis_hypoxia
IC14	ID2	158	Glycolysis_hypoxia
IC14	DHRS3	158	Glycolysis_hypoxia
IC14	FEM1C	158	Glycolysis_hypoxia
IC14	LDHA	158	Glycolysis_hypoxia
IC14	SCG2	158	Glycolysis_hypoxia
IC14	PLOD2	158	Glycolysis_hypoxia
IC14	MT2A	158	Glycolysis_hypoxia
IC14	PLOD1	158	Glycolysis_hypoxia
IC14	SOD2	158	Glycolysis_hypoxia
IC14	ZFAND2A	158	Glycolysis_hypoxia
IC14	ALDOA	158	Glycolysis_hypoxia
IC14	MT1X	158	Glycolysis_hypoxia
IC14	TREM1	158	Glycolysis_hypoxia
IC14	PRDX4	158	Glycolysis_hypoxia
IC14	HSPA1A	158	Glycolysis_hypoxia
IC14	WDR45L	158	Glycolysis_hypoxia
IC14	NUDT21	158	Glycolysis_hypoxia
IC14	EFEMP1	158	Glycolysis_hypoxia
IC14	RP11-213H15.3	158	Glycolysis_hypoxia
IC14	DNAJB1	158	Glycolysis_hypoxia
IC14	mars-06	158	Glycolysis_hypoxia
IC14	SLC16A1	158	Glycolysis_hypoxia
IC14	SHMT2	158	Glycolysis_hypoxia
IC14	CRBN	158	Glycolysis_hypoxia
IC14	CRYAB	158	Glycolysis_hypoxia
IC14	TPD52L2	158	Glycolysis_hypoxia
IC14	DARS	158	Glycolysis_hypoxia
IC14	ABCA1	158	Glycolysis_hypoxia
IC14	VDAC1	158	Glycolysis_hypoxia
IC14	EFNA1	158	Glycolysis_hypoxia
IC14	BUB3	158	Glycolysis_hypoxia
IC14	HK1	158	Glycolysis_hypoxia
IC14	SUN1	158	Glycolysis_hypoxia
IC14	PRPF6	158	Glycolysis_hypoxia
IC14	C4orf47	158	Glycolysis_hypoxia
IC14	KDM3A	158	Glycolysis_hypoxia
IC14	GAPDH	158	Glycolysis_hypoxia
IC14	SPARCL1	158	Glycolysis_hypoxia
IC14	PDPN	158	Glycolysis_hypoxia
IC14	AZI2	158	Glycolysis_hypoxia
IC14	CA12	158	Glycolysis_hypoxia
IC14	SEC61G	158	Glycolysis_hypoxia
IC14	AMD1	158	Glycolysis_hypoxia
IC14	TMEM167B	158	Glycolysis_hypoxia
IC14	ANKRD37	158	Glycolysis_hypoxia
IC14	HMGXB4	158	Glycolysis_hypoxia
IC14	OLFM1	158	Glycolysis_hypoxia
IC14	YARS	158	Glycolysis_hypoxia
IC14	DDX41	158	Glycolysis_hypoxia
IC14	SYTL2	158	Glycolysis_hypoxia
IC14	FBXO32	158	Glycolysis_hypoxia
IC14	MAN1B1	158	Glycolysis_hypoxia
IC14	SPRYD3	158	Glycolysis_hypoxia
IC14	AARS	158	Glycolysis_hypoxia
IC14	P4HA2	158	Glycolysis_hypoxia
IC14	CAV1	158	Glycolysis_hypoxia
IC14	POLE3	158	Glycolysis_hypoxia
IC14	TPI1	158	Glycolysis_hypoxia
IC14	CCNL2	158	Glycolysis_hypoxia
IC14	C20orf111	158	Glycolysis_hypoxia
IC14	UBC	158	Glycolysis_hypoxia
IC14	KIAA0907	158	Glycolysis_hypoxia
IC14	DHX40	158	Glycolysis_hypoxia
IC14	PAM	158	Glycolysis_hypoxia
IC14	TGFBR3	158	Glycolysis_hypoxia
IC14	EIF4H	158	Glycolysis_hypoxia
IC14	ANGPTL4	158	Glycolysis_hypoxia
IC14	ZNF292	158	Glycolysis_hypoxia
IC14	TDG	158	Glycolysis_hypoxia
IC14	IQGAP1	158	Glycolysis_hypoxia
IC14	NUMA1	158	Glycolysis_hypoxia
IC14	AAMP	158	Glycolysis_hypoxia
IC14	FAM91A1	158	Glycolysis_hypoxia
IC14	TRAM1	158	Glycolysis_hypoxia
IC14	EGFR-AS1	158	Glycolysis_hypoxia
IC14	ATP13A3	158	Glycolysis_hypoxia
IC14	CHI3L1	158	Glycolysis_hypoxia
IC14	ENO1	158	Glycolysis_hypoxia
IC14	BET1	158	Glycolysis_hypoxia
IC14	IMPDH2	158	Glycolysis_hypoxia
IC14	HBP1	158	Glycolysis_hypoxia
IC14	ATF4	158	Glycolysis_hypoxia
IC14	RBAK	158	Glycolysis_hypoxia
IC14	ARL4C	158	Glycolysis_hypoxia
IC14	ZNF622	158	Glycolysis_hypoxia
IC14	FAM13A	158	Glycolysis_hypoxia
IC14	GUSB	158	Glycolysis_hypoxia
IC14	EGLN3	158	Glycolysis_hypoxia
IC14	DHPS	158	Glycolysis_hypoxia
IC14	IGBP1	158	Glycolysis_hypoxia
IC14	CCNL1	158	Glycolysis_hypoxia
IC14	UFM1	158	Glycolysis_hypoxia
IC14	CANX	158	Glycolysis_hypoxia
IC14	TNC	158	Glycolysis_hypoxia
IC14	HARS2	158	Glycolysis_hypoxia
IC14	NAMPT	158	Glycolysis_hypoxia
IC14	GYS1	158	Glycolysis_hypoxia
IC14	RNMT	158	Glycolysis_hypoxia
IC14	C10orf10	158	Glycolysis_hypoxia
IC14	LOX	158	Glycolysis_hypoxia
IC14	CYBRD1	158	Glycolysis_hypoxia
IC14	RRM1	158	Glycolysis_hypoxia
IC14	SBDSP1	158	Glycolysis_hypoxia
IC14	GLUL	158	Glycolysis_hypoxia
IC14	LMAN1	158	Glycolysis_hypoxia
IC14	CCDC47	158	Glycolysis_hypoxia
IC14	FOXO3	158	Glycolysis_hypoxia
IC14	SULF2	158	Glycolysis_hypoxia
IC14	USPL1	158	Glycolysis_hypoxia
IC14	LGALS3BP	158	Glycolysis_hypoxia
IC14	PLP2	158	Glycolysis_hypoxia
IC14	GPI	158	Glycolysis_hypoxia
IC14	CWC25	158	Glycolysis_hypoxia
IC14	ANKRA2	158	Glycolysis_hypoxia
IC14	TOMM20	158	Glycolysis_hypoxia
IC14	ZNFX1-AS1	158	Glycolysis_hypoxia
IC14	PCMT1	158	Glycolysis_hypoxia
IC14	ZNF266	158	Glycolysis_hypoxia
IC14	EIF4EBP1	158	Glycolysis_hypoxia
IC14	KBTBD2	158	Glycolysis_hypoxia
IC14	SNRNP200	158	Glycolysis_hypoxia
IC14	NTRK2	158	Glycolysis_hypoxia
IC14	GOLGA4	158	Glycolysis_hypoxia
IC14	NT5C3	158	Glycolysis_hypoxia
IC15	BST2	199	
IC15	SLN	199	
IC15	RDH10	199	
IC15	IL33	199	
IC15	CCNA1	199	
IC15	KDR	199	
IC15	CD34	199	
IC15	SLC40A1	199	
IC15	TGFB2	199	
IC15	RGS5	199	
IC15	KRT8	199	
IC15	FAM198B	199	
IC15	EDN1	199	
IC15	FRMD4B	199	
IC15	MGARP	199	
IC15	ERBB4	199	
IC15	COL3A1	199	
IC15	EFNB2	199	
IC15	SEMA3D	199	
IC15	NEBL	199	
IC15	KCNMB4	199	
IC15	PCDH17	199	
IC15	SCD5	199	
IC15	SORBS2	199	
IC15	MATN2	199	
IC15	KRT19	199	
IC15	CLEC1B	199	
IC15	ISG15	199	
IC15	LPHN2	199	
IC15	ZNF217	199	
IC15	BMPER	199	
IC15	HDC	199	
IC15	CARD16	199	
IC15	SLAIN1	199	
IC15	SLITRK6	199	
IC15	FAM122C	199	
IC15	LGR4	199	
IC15	PHLDA1	199	
IC15	ENC1	199	
IC15	SERPINB9	199	
IC15	ANKRD18B	199	
IC15	CNIH3	199	
IC15	GPM6B	199	
IC15	TNIK	199	
IC15	PPP1R3B	199	
IC15	PPM1H	199	
IC15	PPFIBP2	199	
IC15	RBM47	199	
IC15	CSRP2	199	
IC15	AC064834.1	199	
IC15	TRIM55	199	
IC15	PRAME	199	
IC15	OCLN	199	
IC15	ANK3	199	
IC15	MCAM	199	
IC15	APLNR	199	
IC15	PAPSS2	199	
IC15	CLEC12B	199	
IC15	TMEM38B	199	
IC15	LIPG	199	
IC15	SVEP1	199	
IC15	MAN1A1	199	
IC15	TNNT1	199	
IC15	DACH1	199	
IC15	JMY	199	
IC15	HRSP12	199	
IC15	APOC1	199	
IC15	KCNJ2	199	
IC15	DPYSL3	199	
IC15	KLHL4	199	
IC15	SPRY1	199	
IC15	LRIG3	199	
IC15	HMCN1	199	
IC15	PLEKHG1	199	
IC15	RFK	199	
IC15	KIAA1551	199	
IC15	SHOX2	199	
IC15	IQGAP2	199	
IC15	FGFR2	199	
IC15	LINC00460	199	
IC15	LIFR	199	
IC15	MECOM	199	
IC15	@	199	
IC15	PLAT	199	
IC15	F2RL1	199	
IC15	PAPPA	199	
IC15	TAL2	199	
IC15	DKK1	199	
IC15	ITGAV	199	
IC15	SPTSSA	199	
IC15	GATA6	199	
IC15	NES	199	
IC15	PRUNE2	199	
IC15	BLVRB	199	
IC15	DENND5B	199	
IC15	SLC16A1	199	
IC15	RHPN2	199	
IC15	ANK1	199	
IC15	MEST	199	
IC15	USP53	199	
IC15	FZD3	199	
IC15	AFF2	199	
IC15	GMPR	199	
IC15	ANKRD20A5P	199	
IC15	PLTP	199	
IC15	STAT1	199	
IC15	AMIGO2	199	
IC15	ARHGDIB	199	
IC15	STX3	199	
IC15	CAPRIN2	199	
IC15	MEIS2	199	
IC15	TAF7L	199	
IC15	AKR1C1	199	
IC15	LYN	199	
IC15	KRT18	199	
IC15	GALM	199	
IC15	ANK2	199	
IC15	PVRL3	199	
IC15	CYB5R2	199	
IC15	GNG11	199	
IC15	OSBPL1A	199	
IC15	BMP6	199	
IC15	F11R	199	
IC15	TMEM88	199	
IC15	TUFT1	199	
IC15	PREX1	199	
IC15	MMP16	199	
IC15	BAMBI	199	
IC15	FAM69A	199	
IC15	CD55	199	
IC15	SLC7A11-AS1	199	
IC15	OTX2	199	
IC15	F2RL2	199	
IC15	TMEM144	199	
IC15	SOCS2	199	
IC15	PRKAG2	199	
IC15	LIMK2	199	
IC15	PBX3	199	
IC15	GULP1	199	
IC15	RBM24	199	
IC15	GABBR2	199	
IC15	CTB-78F1.1	199	
IC15	CAP2	199	
IC15	TENM2	199	
IC15	CREM	199	
IC15	HLA-E	199	
IC15	FBXW7	199	
IC15	PDGFRA	199	
IC15	LTBP1	199	
IC15	NID2	199	
IC15	RGS3	199	
IC15	EVA1C	199	
IC15	PRCP	199	
IC15	MAF	199	
IC15	CHSY1	199	
IC15	CACNG8	199	
IC15	FNIP2	199	
IC15	FBLN2	199	
IC15	PYGL	199	
IC15	SIM2	199	
IC15	MGST2	199	
IC15	MAP4K3	199	
IC15	FAM122B	199	
IC15	HGF	199	
IC15	PIK3C2B	199	
IC15	C12orf68	199	
IC15	HSD17B11	199	
IC15	HIVEP3	199	
IC15	DDR1	199	
IC15	LAPTM4B	199	
IC15	S100A13	199	
IC15	SAT1	199	
IC15	CYB5D1	199	
IC15	PVR	199	
IC15	FAM184A	199	
IC15	SEC11C	199	
IC15	MDK	199	
IC15	LPGAT1	199	
IC15	PON2	199	
IC15	NRCAM	199	
IC15	LYPLAL1	199	
IC15	TTLL7	199	
IC15	SPAG17	199	
IC15	IL1A	199	
IC15	TFPI2	199	
IC15	TM2D2	199	
IC15	HNMT	199	
IC15	BRWD3	199	
IC15	TIAM1	199	
IC15	MPC2	199	
IC15	HEBP1	199	
IC15	TANC1	199	
IC15	SERPINB6	199	
IC15	PTPRF	199	
IC15	LAMB1	199	
IC15	NDRG4	199	
IC15	SPOPL	199	
IC15	ITM2C	199	
IC15	EMP1	199	
IC16	TTN	169	
IC16	MYH3	169	
IC16	ACTA2	169	
IC16	MYLPF	169	
IC16	MLLT11	169	
IC16	TNNI1	169	
